text,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
"@Irfan61891 Hi Shaik, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976584248921379081'],2025-10-10 09:43:02+00:00,1976584248921379081,0,1,0,1,0,55,0,0,9
"@DaveDia241577 Hi there. Just to confirm, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976583159631204363'],2025-10-10 09:38:43+00:00,1976583159631204363,0,0,0,0,0,47,0,0,9
"@KhalidA77776388 Hi Khalid. Just to confirm, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976579979539308566'],2025-10-10 09:26:04+00:00,1976579979539308566,0,0,0,0,0,43,0,0,9
@Vinoth_05 @googlesupport @Vinoth_05 Hi Vinoth. We suggest adding extra layers of security to your account with these tips: https://t.co/HpAgO5vEEy. Hope this helps.,['1976579517800939871'],2025-10-10 09:24:14+00:00,1976579517800939871,0,0,0,0,0,34,0,0,9
@LateefMalik1010 Hi Malik. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.,['1976579170575458486'],2025-10-10 09:22:51+00:00,1976579170575458486,0,5,0,0,0,26,0,0,9
@lamarjaxkson Hi there. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976571873983922265'],2025-10-10 08:53:52+00:00,1976571873983922265,0,3,0,0,0,45,0,0,8
@AbdulRachimmks Hi Daeng. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976571240253964414'],2025-10-10 08:51:21+00:00,1976571240253964414,0,1,1,0,0,34,1,0,8
"@CosterFloyd Hi there. Without revealing your email address, tell us more about what's going on with your account. We'll see what we can do to help.",['1976565202750493056'],2025-10-10 08:27:21+00:00,1976565202750493056,0,0,0,0,0,27,0,0,8
@alishakh_nox Hmm. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976557154304692565'],2025-10-10 07:55:22+00:00,1976557154304692565,0,0,0,0,0,29,0,0,7
@1d2a3w Got it. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976538618723217591'],2025-10-10 06:41:43+00:00,1976538618723217591,0,0,0,0,0,28,0,0,6
@1d2a3w @1d2a3w Hmm. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976534194848186625'],2025-10-10 06:24:08+00:00,1976534194848186625,0,1,0,0,0,28,0,0,6
"@nimble1337 Hi there. Have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976533975951605839'],2025-10-10 06:23:16+00:00,1976533975951605839,0,0,1,0,0,34,1,0,6
"@1d2a3w Hi there. Just to confirm, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6.  If you still have questions, let us know.",['1976525944497091056'],2025-10-10 05:51:21+00:00,1976525944497091056,0,0,1,1,0,46,1,0,5
"@NishaPande6162 Hi there. To sign in and reset your password, follow the steps at https://t.co/5DgrZkT83a. If you are unable to sign in, these tips may help: https://t.co/vQSZijYFh6. Learn how to set strong, secure passwords here: https://t.co/g7QByQhrAn. Keep us posted.",['1976515890414751872'],2025-10-10 05:11:24+00:00,1976515890414751872,0,1,0,0,0,49,0,0,5
"@GiMi125 Hi there. Let's see if we can help. Please follow us and let us know when you have, so we can share next steps through DM.",['1976513109251551433'],2025-10-10 05:00:21+00:00,1976513109251551433,1,1,1,0,1,35,1,1,5
"@BasAnwr23999 Hmm. You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can. Keep us posted.",['1976503419545288793'],2025-10-10 04:21:51+00:00,1976503419545288793,0,1,0,0,0,34,0,0,4
@kali8807 Hmm. We do want to help. Please follow @Google on Twitter and let us know when you have so we can take this to DM.,['1976494376449642888'],2025-10-10 03:45:55+00:00,1976494376449642888,0,0,0,0,0,36,0,0,3
