created_at,id,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
2025-07-17 08:01:04+00:00,1945755619027558627,['1945755619027558627'],"シェイク、シェイク✨
#シェイクンキャラメルラテ をおうちで楽しんでみませんか🏠🧡
スターバックス ヴィア® を使ったアレンジレシピをご紹介します。
動画はタップしてご覧ください👇

———
📝アレンジレシピ
[材料(1杯分)]
・スターバックス ヴィア® コーヒーエッセンス キャラメル 1本
・ミルク https://t.co/zUyKtpIsee",462,22,3515,29,688,1239083,3515,462,8
2025-07-17 03:49:19+00:00,1945692264094982273,['1945692264094982273'],"RT @fashionsnap: 【SPECIAL】スターバックスから、フルーツの贅沢感とシトラスの香りがひろがる「チラックス ソーダ マスカット」が新登場！
夏の暑さに疲れた時は、チラックス ソーダで気分をスッキリ。

長濱ねるさんが出演するスペシャルムービーを公開中。（PR…",111,0,0,0,0,135,0,111,3
2025-07-16 07:02:00+00:00,1945378365567066511,['1945378365567066511'],"今年の夏も暑い日が続きそうですね☀️
暑い日のお出かけや外遊びにもぴったりなグッズたちが、お店やオンラインストアに並んでいます💙✨

🧊大容量サイズ(946ml/1892ml)のジャグタンブラーは、たっぷり水分補給したい暑い日に。 https://t.co/eiJa3eKxEQ",397,17,3598,35,208,1416522,3598,397,7
2025-07-11 07:01:00+00:00,1943566175063203903,['1943566175063203903'],"マスカットフレーバーの3つのドリンクで、夏の暑さを癒しませんか🌞
いまのあなたにぴったりの1杯をご提案🥤
今日の気分を絵文字で教えてください☺✨

💙アールグレイフローズンティー
💚フラペチーノ®
💛チラックスソーダ https://t.co/hW0PDZfNkM",651,102,4258,127,130,1597521,4258,651,7
2025-07-10 01:01:00+00:00,1943113189719433507,['1943113189719433507'],"ゴロゴロとした白桃と、まろやかなミルクの風味が楽しめる #ピーチandミルクケーキ が登場🍑🥛

コク深い風味の練乳クリームと軽い風味のミルクムースが重なり、ピーチの爽やかさを引き立てます💫

みずみずしい夏にぴったりなケーキで、ご褒美タイムを過ごしてみませんか☺️ https://t.co/xHsCx6wtLp",3496,60,20958,854,956,2256404,20958,3496,1
2025-07-09 01:01:00+00:00,1942750802738831432,['1942750802738831432'],"本日(7/9)から、３つのマスカットフレーバーを体験できるドリンクが登場✨
個性溢れる３つのドリンクで乾杯しませんか？🥂

💚至福な気分を味わうフラペチーノ®
💙華やかな気分に包まれるアールグレイフローズンティー
💛チルな気分を演出するチラックスソーダ https://t.co/w8yPWF1E4Q",2156,46,8301,552,275,1706128,8301,2156,1
2025-07-08 07:01:00+00:00,1942479011327926620,['1942479011327926620'],7/9 coming tomorrow🌟 https://t.co/T8Wb2Muitf,4504,70,29775,811,661,2181929,29775,4504,7
2025-07-07 09:01:00+00:00,1942146823474516448,['1942146823474516448'],"本日(7/7) 19:00～、夏の家族でのおでかけにもぴったりなサマーシーズン第3弾のグッズや、季節のコーヒー、アレンジレシピをバリスタがご紹介✨
みなさまからのご質問やコメントもお待ちしています😊
▼LIVE配信はこちら
https://t.co/c7uVBd6Iou https://t.co/VG0RIo4z0h",124,4,1311,11,32,560758,1311,124,9
2025-07-07 07:02:00+00:00,1942116874889896038,['1942116874889896038'],『HOTEL STARBUCKS』の世界観をイメージしたグッズたちも登場します🐻💚 https://t.co/WekqGULtvJ https://t.co/gZWzyMrFA1,590,10,3436,92,158,892113,3436,590,7
2025-07-07 07:01:00+00:00,1942116622954836194,['1942116622954836194'],"家族でシェアできる大容量サイズのタンブラーや、テイクアウトカップのホルダーとしても使用できる2WAYステンレスカップなど、夏のお出かけに活躍しそうなグッズが新登場☀️🌴

本日(7/7) 20:00～オンラインストア先行販売、
7/9(水)全国のお店に並びます✨

みなさんはどれが気になりますか😊 https://t.co/Jpeaf1S5By",368,10,2740,40,211,2044845,2740,368,7
2025-07-04 05:02:00+00:00,1940999511767502906,['1940999511767502906'],"オンラインストアの #マイカスタムボトル に、淡いトーンの新色が登場😉
フラペチーノ®などをモチーフにしたワッペンとベアリスタチャーム付きのリッドカバーで、さらに自分らしくカスタマイズすることも💚

刻印を入れてギフトにしたり、誰かとお揃いにして楽しむのもおすすめです✨ https://t.co/PYG9ypY7ig",515,30,4066,82,453,1691437,4066,515,5
2025-07-03 01:31:00+00:00,1940584025640652887,['1940584025640652887'],"7/9(水)、#チラックスソーダ の新フレーバー『#チラックスソーダマスカット』が新登場✨

ジューシーなぶどう果肉とマスカットピューレのぷるっとしたジュレに、しゅわっと爽快な炭酸。
暑い日やリフレッシュしたいときに心がふっと軽くなるような、夏の日にぴったりの一杯です🫧 https://t.co/4zoEq9iKgR",3886,56,21368,664,758,2029583,21368,3886,1
